Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,233.050003,234.559998,226.729996,229.250000,227.056458,29743600
2022-10-11,227.619995,229.059998,224.110001,225.410004,223.253204,30474000
2022-10-12,225.399994,227.860001,223.960007,225.750000,223.589935,21903900
2022-10-13,219.850006,236.100006,219.130005,234.240005,231.998718,42551800
2022-10-14,235.539993,237.240005,228.339996,228.559998,226.373062,30198600
2022-10-17,235.820007,238.960007,235.139999,237.529999,235.257217,28142300
2022-10-18,243.240005,243.929993,235.369995,238.500000,236.217941,26329600
2022-10-19,237.039993,239.610001,234.289993,236.479996,234.217285,19985700
2022-10-20,235.770004,241.309998,234.869995,236.149994,233.890427,21811000
2022-10-21,234.740005,243.000000,234.500000,242.119995,239.803299,26299700
2022-10-24,243.759995,247.839996,241.300003,247.250000,244.884232,24911200
2022-10-25,247.259995,251.039993,245.830002,250.660004,248.261597,34775500
2022-10-26,231.169998,238.300003,230.059998,231.320007,229.106659,82543200
2022-10-27,231.039993,233.690002,225.779999,226.750000,224.580368,40424600
2022-10-28,226.240005,236.600006,226.050003,235.869995,233.613098,40647700
2022-10-31,233.759995,234.919998,231.149994,232.130005,229.908905,28357300
2022-11-01,234.600006,235.740005,227.330002,228.169998,225.986786,30592300
2022-11-02,229.460007,231.300003,220.039993,220.100006,217.994003,38407000
2022-11-03,220.089996,220.410004,213.979996,214.250000,212.199982,36633900
2022-11-04,217.550003,221.589996,213.429993,221.389999,219.271667,36789100
2022-11-07,221.990005,228.410004,221.279999,227.869995,225.689651,33498000
2022-11-08,228.699997,231.649994,225.839996,228.869995,226.680084,28192500
2022-11-09,227.369995,228.630005,224.330002,224.509995,222.361801,27852900
2022-11-10,235.429993,243.330002,235.000000,242.979996,240.655075,46268000
2022-11-11,242.990005,247.990005,241.929993,247.110001,244.745560,34620200
2022-11-14,241.990005,243.910004,239.210007,241.550003,239.238770,31123300
2022-11-15,245.660004,247.000000,240.029999,241.970001,239.654755,31390100
2022-11-16,242.789993,243.800003,240.419998,241.729996,240.091751,24093300
2022-11-17,237.779999,243.250000,237.630005,241.679993,240.042084,23123500
2022-11-18,243.509995,243.740005,239.029999,241.220001,239.585205,27613500
2022-11-21,241.429993,244.669998,241.190002,242.050003,240.409607,26394700
2022-11-22,243.589996,245.309998,240.710007,245.029999,243.369400,19665700
2022-11-23,245.110001,248.279999,244.270004,247.580002,245.902115,19508500
2022-11-25,247.309998,248.699997,246.729996,247.490005,245.812714,9200800
2022-11-28,246.080002,246.649994,240.800003,241.759995,240.121552,24778200
2022-11-29,241.399994,242.789993,238.210007,240.330002,238.701248,17956300
2022-11-30,240.570007,255.330002,239.860001,255.139999,253.410873,47594200
2022-12-01,253.869995,256.119995,250.919998,254.690002,252.963928,26041500
2022-12-02,249.820007,256.059998,249.690002,255.020004,253.291702,21528500
2022-12-05,252.009995,253.820007,248.059998,250.199997,248.504349,23435300
2022-12-06,250.820007,251.860001,243.779999,245.119995,243.458771,22463700
2022-12-07,244.830002,246.160004,242.210007,244.369995,242.713852,20481500
2022-12-08,244.839996,248.740005,243.059998,247.399994,245.723328,22611800
2022-12-09,244.699997,248.309998,244.160004,245.419998,243.756744,20609700
